T1799_001_0001	首楞嚴經疏序大佛頂密因了義首楞嚴經者乃竺乾之洪範法苑之寶典也
T1799_001_0002	昔能仁以出震五天獨尊三界假金輪而啟物現玉毫而應世
T1799_001_0003	觀四生之受苦也惠濟庶物愍群機之未悟也力垂善誘於是俯仰至理述宣微言闢大慈之門廓真如之海以為一切諸法唯依妄念而起一切眾生不出因緣而有乃知生死輪轉貪欲為本修證常樂禪慧為宗
T1799_001_0004	則斯經也可以辯識諸魔破滅七趣謂止及觀修圓教妙明之心發真歸源證上乘至極之說懿其般剌譯其義房相筆其文
T1799_001_0005	今江吳釋璿師學識兼高辯才無礙以是經典為時教於一代分妙理於十門功濟大千道傳不二瞪目合手以明妄毀相泯心以會宗
T1799_001_0006	信受則為世津梁開悟則入佛知見乃顯經以住疏因疏以明理故可以開前疑而決後滯披迷雲而覩惠日然後知色空無異同歸實際生佛靡殊不離方寸隨志抂外護慚無內
T1799_001_0007	學因獲覽閱輒述序引歸依法寶幸精究於真詮讚揚佛乘願普霑於勝果者已
T1799_001_0008	大宋天聖八年青龍庚午孟冬二十一日辛丑道齋東軒序
T1799_001_0009	譯經三藏朝散大夫試鴻臚卿光梵大師賜紫惟淨謹上書于中丞閣下近蒙以新製首楞嚴經疏序特賜寵示者
T1799_001_0010	鴻儒大士嘉讚寶乘淺學緇流叨窺法句身心適悅種智增明頂奉依歸不任慶幸
T1799_001_0011	竊以大佛頂如來密因修證了義諸菩薩萬行首楞嚴經者菩薩行門諸佛心印開有為即塵沙妙用歸無相即法界真源
T1799_001_0012	不有不空絕名相於言罤之外現因示果分階位於神化之中
T1799_001_0013	境不礙心惑不礙智七大之性大無所待八還之法還無所從
T1799_001_0014	所以了真如心息虛妄本起方便慧宣祕密言萬法以之圓融諸佛以之自在入不二之二諦悟不空之三空偉矣真宗不可思議
T1799_001_0015	聿有高士著述疏章煥決祕詮簡談佛旨恭惟中丞入佛知見解法因緣學佛修行袪拂有空之病宣法性相融明起滅之端
T1799_001_0016	為護法城作不請友高製序引恢闡教乘永代作程長冥示炬
T1799_001_0017	惟淨夙承道顧忝翫奇文佩戴恩私不任抃躍不宣惟淨頓首
T1799_001_0018	稽首我大師十方調御尊佛頂首楞嚴大覺如來藏圓明諸聖眾上首龍尊王常闢大慈門救攝眾生者
T1799_001_0019	願垂加護我顯說妙難思普共諸含靈速證真如海
T1799_001_0020	將釋此經十門分別一教起因緣二藏乘分攝三教義分齊四所被機宜五能詮體性六所詮宗趣七教迹前後八傳譯時年九通釋名題十別解文義
T1799_001_0021	初中二一總二別總者謂詶因酬請顯理度生一代教興皆由此矣
T1799_001_0022	若原佛本意唯為一大事因緣欲令眾生開示悟入佛之知見
T1799_001_0023	雖三車通許唯賜白牛但為一乘無三及二也別者有十故說此經
T1799_001_0024	一為克示真三昧故謂阿難遭難蓋無真定故請諸佛得成菩提
T1799_001_0025	妙奢摩他三摩禪那最初方便及佛告許云有三摩提名大佛頂
T1799_001_0026	首楞嚴王具足萬行十方如來一門超出妙莊嚴路至於再請
T1799_001_0027	責己將謂惠我偈讚希有等乃至如來諷歎名金剛王
T1799_001_0028	如幻三昧勅說圓通文殊揀顯指三世佛同此一門
T1799_001_0029	道場加行成就聖位立此經名破滅七趣辨識諸魔皆為此也
T1799_001_0030	二為廣破諸妄執故謂阿難執妄迷真匿王執常為斷七處徵詰
T1799_001_0031	三疑拒諍佛再語云若汝執悋分別覺觀為汝心等
T1799_001_0032	故約心見二門隨執廣破此之執相不離人法也三為開顯妙明心故
T1799_001_0033	謂阿難初請三昧佛先審問發心既陳愛見之源全迷真實之體
T1799_001_0034	遂云眾生無始生死相續皆由不知常住真心此真妙明即是菩提涅槃元清淨體
T1799_001_0035	故阿難自責不知寂常如來許可發妙明性先就心見二門
T1799_001_0036	乍徵乍顯後約三科七大分明顯會令於法法咸見性常
T1799_001_0037	俱遍俱融含攝無礙眾皆領悟自知心遍十方諸所有物皆即菩提妙體
T1799_001_0038	元明心遍含裹十虛身土虛空了無所得唯一本妙常住不滅
T1799_001_0039	洎滿慈疑於有相慶喜再責因緣佛隨開示令得知見矣
T1799_001_0040	四為決斷眾疑網故謂佛顯示真見阿難隨見疑生
T1799_001_0041	或縮斷離身因緣自爾和合非合執相疑性諸大遍圓滅妄生妄成真不真
T1799_001_0042	修無常因獲常住果疑網既眾佛隨斷之矣五為辨析修行門
T1799_001_0043	故謂佛廣示藏體慶喜深解現前舉喻天王賜與華屋
T1799_001_0044	雖知所賜將入無門已悉多聞不逮修習故請問云
T1799_001_0045	從何攝伏疇昔攀緣入佛知見佛舉二義決定以為發覺
T1799_001_0046	初心謂止及觀斯為要也初令以湛旋妄成不生滅
T1799_001_0047	次令審詳煩惱知根降伏一根既反餘根自旋諸妄銷亡
T1799_001_0048	不真何待六為分別邪正行故謂阿難已悟修行後代罔知邪正
T1799_001_0049	雖期正道多陷邪宗水灌漏巵若為取滿慶喜請云
T1799_001_0050	眾生去佛漸遠邪師說法至多欲令心入佛乘遠魔無退
T1799_001_0051	佛舉四種明誨諸聖同途戒根不虧定慧可據如其不切清禁禪慧洪深
T1799_001_0052	鬼屬魔民斯難逭免祈進却步誠可悲夫七為顯呪功能勝故
T1799_001_0053	謂慶喜難在登伽如來遣呪往救承力雖至密言闕聞
T1799_001_0054	況能潛護根門防閑宿習齋戒不稟而自備果證不遠而可得
T1799_001_0055	消難獲利自行化他因人果人靡不由此而辨其事也
T1799_001_0056	八為證入有階降故謂理絕修證事存階漸偏一則病空
T1799_001_0057	有圓通則融真俗故不損寂滅而建立諸位阿難知機為請
T1799_001_0058	如來就行開示始從漸次終乎極果於無生忍中立五十七位
T1799_001_0059	不斷而斷惑障必亡非證而證神用斯備豈同魔外都無位次耶
T1799_001_0060	文云是種種地皆以金剛觀察如幻十種深喻奢摩他中
T1799_001_0061	用諸如來毘婆舍那清淨修證漸次深入耳九為廣示諸魔境故
T1799_001_0062	謂修禪觀人靡不有初而鮮克有終者蓋不諳其魔境妄生取著
T1799_001_0063	不了唯心遂派諸道佛慈無緣不問自說觀中破陰
T1799_001_0064	每陰十種五十境界分析邪源末代修禪免為所惑
T1799_001_0065	十為究盡妄想源故謂五陰諸經皆說未聞五妄想成
T1799_001_0066	今明破一陰時出一妄想破則從麁至細起則自細現麁
T1799_001_0067	其之根源唯一識陰識陰無體但是圓常文云湛入合湛歸識邊際
T1799_001_0068	既知五陰咸是妄想五陰攝法何所不該論云一切諸法唯依妄念而有差別
T1799_001_0069	若離心念則無一切境界之相也由斯十意而說此經
T1799_001_0070	二藏乘分攝者謂三藏之中修多羅攝二藏之中菩薩藏攝若此攝彼則兼該二三
T1799_001_0071	持戒證果有小乘故徵難辨析最明顯故諸乘之中一乘所攝若此攝彼亦該諸乘
T1799_001_0072	十二分中契經方廣二分所攝攝彼如前三教義分齊者
T1799_001_0073	依賢首大師二義分別一約教詮法通局顯分齊謂以義分教
T1799_001_0074	教類有五一小乘教但說我空縱少說法空亦不明顯
T1799_001_0075	但依六識三毒建立染淨根本未盡法源故多諍論
T1799_001_0076	二大乘始教亦名分教但說諸法皆空未盡大乘法理故名為始
T1799_001_0077	但說一切法相有不成佛故名為分三大乘終教亦名實教
T1799_001_0078	說如來藏隨緣成阿梨耶識緣起無性一切皆如定性二乘無性闡提悉當成佛
T1799_001_0079	方盡大乘至極之說故名為終以稱實理故名為實
T1799_001_0080	四大乘頓教總不說法相唯辨真性亦無八識差別之相
T1799_001_0081	呵教勸離毀相泯心但一念不生即名為佛不依地位漸次故說為頓
T1799_001_0082	五一乘圓教所說唯是法界性海圓融緣起無礙相即相入帝網重重主伴無盡也
T1799_001_0083	若於五中顯此經分齊正唯終教兼於頓圓若將此經與五教互相攝者
T1799_001_0084	五唯後三攝此此總攝彼諸教二約法生起本末顯分齊
T1799_001_0085	依起信論明諸染法本末五重論中初唯一心為本源
T1799_001_0086	二依一心開二門一心真如門所謂心性不生不滅
T1799_001_0087	二心生滅門謂依如來藏與生滅合名阿梨耶識三依此識明二義
T1799_001_0088	一覺義謂心體離念等二不覺義謂不如實知真如法
T1799_001_0089	一不覺心動等四依後義生三細一依不覺故心動名業相
T1799_001_0090	二依動故能見名轉相三依見故境界妄現名現相
T1799_001_0091	五依最後生六麁一智相依境分別也即法執俱生
T1799_001_0092	二相續相依智起念不斷即法執分別三執取相心起著故
T1799_001_0093	即我執俱生四計名字相我執分別上四皆惑五起業相業也
T1799_001_0094	六業繫苦相報也若以諸宗就此五重顯分齊者謂人天唯齊業報
T1799_001_0095	小乘齊後四麁法相極於三細終頓圓通詮本末方窮
T1799_001_0096	初一心源初一心源即此經常住真心性淨明體經標此心為宗本故
T1799_001_0097	一切因果世界微塵因心成故二根本中說為無始
T1799_001_0098	菩提涅槃元明體故第一重約見約心或破或會至於備歷三科七大
T1799_001_0099	咸言妙真如性等即心真如門經喻瞪目合手眚見燈光性明圓故
T1799_001_0100	因明發性識精元明性一切心等即生滅門第二重滿慈致疑
T1799_001_0101	佛舉本覺明妙性覺必明妄為明覺覺非所明因明立所等
T1799_001_0102	即本覺不覺也了然自知發真歸元覺迷迷滅等即始覺也第三重
T1799_001_0103	三相四輪晦昧為空空晦暗中結暗為色等即三細第四重
T1799_001_0104	引起塵勞煩惱聚緣內搖趣外奔逸業果眾生二種相續等
T1799_001_0105	即後五麁第五重由是此經具詮本末學者備覽足見幽深
T1799_001_0106	四所被機宜者依圓覺疏略有二種初料揀後普收
T1799_001_0107	初謂樂著名相以文為解者繫滯行位高推聖境者情尚於空觸
T1799_001_0108	言賓無者自恃天真輕厭進習者固執先聞擔麻棄金者如上皆非其器反上即皆是器
T1799_001_0109	後普收一切眾生皆有佛性俱得聞之無不獲益謂宿種深者悟入淺者信解
T1799_001_0110	都無種者亦皆熏成圓頓種性如華嚴經食金剛喻
T1799_001_0111	若約五性正被菩薩性及不定性兼為餘性作遠因緣三聚之中為正定聚令增妙行為不定聚令修信心為邪定人作遠因緣也
T1799_001_0112	五能詮體性者略作四門一隨相門復二一聲名句文體體用假實二相資故二通攝所詮體若不詮義文非教故
T1799_001_0113	二唯識門前二不離識所變故然有本質影像之異
T1799_001_0114	三歸性門此識無體唯真如故四無礙門心境理事交徹相攝以一心法有二門故
T1799_001_0115	六所詮宗趣者即有通別初謂統論佛教因緣為宗以佛聖教自淺至深說一切法不出因緣二字
T1799_001_0116	若佛滅後賢聖弟子相承傳習通大小乘宗途有五如起信疏別明此經者
T1799_001_0117	又有總別總以心境空遍計如蛇鬼經云如虛空華本無所有
T1799_001_0118	又經云妄為色空及與聞見寂依他如影像等經云當處出生隨處滅盡等
T1799_001_0119	藏性圓滿由空寂故圓滿成實經云此見及緣元是菩提妙淨明體等
T1799_001_0120	凡聖平等為宗下云迷悟死生了不可得又聖凡無二路
T1799_001_0121	又生死涅槃皆即狂勞等令修行者忘情由悟宗故下云即汝心中狂性自歇旋流無妄等佛由情忘故經云歇即菩提即同如來等
