T0001_001_0	長阿含經序夫宗極絕於稱謂賢聖以之沖默玄旨
T0001_001_10	稱謂賢聖以之沖默玄旨非言不傳釋迦所以致教
T0001_001_20	非言不傳釋迦所以致教是以如來出世大教有三
T0001_001_30	是以如來出世大教有三約身口則防之以禁律明
T0001_001_40	約身口則防之以禁律明善惡則導之以契經演幽
T0001_001_50	善惡則導之以契經演幽微則辨之以法相然則三
T0001_001_60	微則辨之以法相然則三藏之作也本於殊應會之
T0001_001_70	藏之作也本於殊應會之有宗則異途同趣矣禁律
T0001_001_80	有宗則異途同趣矣禁律律藏也四分十誦法相阿
T0001_001_90	律藏也四分十誦法相阿毗曇藏也四分五誦契經
T0001_001_100	毗曇藏也四分五誦契經四阿含藏也增一阿含四
T0001_001_110	四阿含藏也增一阿含四分八誦中阿含四分五誦
T0001_001_120	分八誦中阿含四分五誦雜阿含四分十誦此長阿
T0001_001_130	雜阿含四分十誦此長阿含四分四誦合三十經以
T0001_001_140	含四分四誦合三十經以為一部阿含秦言法歸法
T0001_001_150	為一部阿含秦言法歸法歸者蓋是萬善之淵府總
T0001_001_160	歸者蓋是萬善之淵府總持之林苑其為典也淵博
T0001_001_170	持之林苑其為典也淵博弘富韞而彌廣明宣禍福
T0001_001_180	弘富韞而彌廣明宣禍福賢愚之迹剖判真偽異齊
T0001_001_190	賢愚之迹剖判真偽異齊之原歷記古今成敗之數
T0001_001_200	之原歷記古今成敗之數墟域二儀品物之倫道無
T0001_001_210	墟域二儀品物之倫道無不由法無不在譬彼巨海
T0001_001_220	不由法無不在譬彼巨海百川所歸故以法歸為名
T0001_001_230	百川所歸故以法歸為名開析修途所記長遠故以
T0001_001_240	開析修途所記長遠故以長為目翫茲典者長迷頓
T0001_001_250	長為目翫茲典者長迷頓曉邪正難辨顯如晝夜報
T0001_001_260	曉邪正難辨顯如晝夜報應冥昧照若影響劫數雖
T0001_001_270	應冥昧照若影響劫數雖遼近猶朝夕六合雖曠現
T0001_001_280	遼近猶朝夕六合雖曠現若目前斯可謂朗大明於
T0001_001_290	若目前斯可謂朗大明於幽室惠五目於眾瞽不闚
T0001_001_300	幽室惠五目於眾瞽不闚戶牖而智無不周矣大秦
T0001_001_310	戶牖而智無不周矣大秦天王滌除玄覽高韻獨邁
T0001_001_320	天王滌除玄覽高韻獨邁恬智交養道世俱濟每懼
T0001_001_330	恬智交養道世俱濟每懼微言翳於殊俗以右將軍
T0001_001_340	微言翳於殊俗以右將軍使者司隸校尉晉公姚爽
T0001_001_350	使者司隸校尉晉公姚爽質直清柔玄心超詣尊尚
T0001_001_360	質直清柔玄心超詣尊尚大法妙悟自然上特留懷
T0001_001_370	大法妙悟自然上特留懷每任以法事以弘始十二
T0001_001_380	每任以法事以弘始十二年歲次上章閹茂請罽賓
T0001_001_390	年歲次上章閹茂請罽賓三藏沙門佛陀耶舍出律
T0001_001_400	三藏沙門佛陀耶舍出律藏一分四十五卷十四年
T0001_001_410	藏一分四十五卷十四年訖十五年歲次昭陽赤奮
T0001_001_420	訖十五年歲次昭陽赤奮若出此長阿含訖涼州沙
T0001_001_430	若出此長阿含訖涼州沙門佛念為譯秦國道士道
T0001_001_440	門佛念為譯秦國道士道含筆受時集京夏名勝沙
T0001_001_450	含筆受時集京夏名勝沙門於第校定恭承法言敬
T0001_001_460	門於第校定恭承法言敬受無差蠲華崇朴務存聖
T0001_001_470	受無差蠲華崇朴務存聖旨余以嘉遇猥參聽次雖
T0001_001_480	旨余以嘉遇猥參聽次雖無翼善之功而預親承之
T0001_001_490	無翼善之功而預親承之末故略記時事以示來賢
T0001_001_500	末故略記時事以示來賢焉一第一分初大本經第
T0001_001_510	焉一第一分初大本經第一如是我聞一時佛在舍
T0001_001_520	一如是我聞一時佛在舍衛國祇樹花林窟與大比
T0001_001_530	衛國祇樹花林窟與大比丘眾千二百五十人俱時
T0001_001_540	丘眾千二百五十人俱時諸比丘於乞食後集花林
T0001_001_550	諸比丘於乞食後集花林堂各共議言諸賢比丘唯
T0001_001_560	堂各共議言諸賢比丘唯無上尊為最奇特神通遠
T0001_001_570	無上尊為最奇特神通遠達威力弘大乃知過去無
T0001_001_580	達威力弘大乃知過去無數諸佛入於涅槃斷諸結
T0001_001_590	數諸佛入於涅槃斷諸結使消滅戱論又知彼佛劫
T0001_001_600	使消滅戱論又知彼佛劫數多少名號姓字所生種
T0001_001_610	數多少名號姓字所生種族其所飲食壽命脩短所
T0001_001_620	族其所飲食壽命脩短所更苦樂又知彼佛有如是
T0001_001_630	更苦樂又知彼佛有如是戒有如是法有如是慧有
T0001_001_640	戒有如是法有如是慧有如是解有如是住云何諸
T0001_001_650	如是解有如是住云何諸賢如來為善別法性知如
T0001_001_660	賢如來為善別法性知如是事為諸天來語乃知此
T0001_001_670	是事為諸天來語乃知此事爾時世尊在閑靜處天
T0001_001_680	事爾時世尊在閑靜處天耳清淨聞諸比丘作如是
