T0002_001_0	如是我聞一時佛在舍衛國祇樹給孤獨園爾時有
T0002_001_10	國祇樹給孤獨園爾時有大苾芻眾持鉢食時詣迦
T0002_001_20	大苾芻眾持鉢食時詣迦里梨道場共坐思惟過去
T0002_001_30	里梨道場共坐思惟過去世時有何佛出現族姓壽
T0002_001_40	世時有何佛出現族姓壽量其義云何如是思已互
T0002_001_50	量其義云何如是思已互相推問而不能知爾時世
T0002_001_60	相推問而不能知爾時世尊知此苾芻思惟是事即
T0002_001_70	尊知此苾芻思惟是事即從座起詣迦里梨道場結
T0002_001_80	從座起詣迦里梨道場結跏趺坐時諸苾芻頭面禮
T0002_001_90	跏趺坐時諸苾芻頭面禮足住立一面合掌恭敬一
T0002_001_100	足住立一面合掌恭敬一心瞻仰世尊問曰汝諸苾
T0002_001_110	心瞻仰世尊問曰汝諸苾芻於意云何苾芻答言我
T0002_001_120	芻於意云何苾芻答言我等思惟過去世中有何佛
T0002_001_130	等思惟過去世中有何佛出世族姓壽量皆不能知
T0002_001_140	出世族姓壽量皆不能知佛告諸苾芻汝等樂聞苾
T0002_001_150	佛告諸苾芻汝等樂聞苾芻答言今正是時願為宣
T0002_001_160	芻答言今正是時願為宣說佛言汝等諦聽我今說
T0002_001_170	說佛言汝等諦聽我今說之過去九十一劫有毘婆
T0002_001_180	之過去九十一劫有毘婆尸佛應正等覺出現世間
T0002_001_190	尸佛應正等覺出現世間三十一劫有尸棄佛毘舍
T0002_001_200	三十一劫有尸棄佛毘舍浮佛應正等覺出現世間
T0002_001_210	浮佛應正等覺出現世間於賢劫中第六劫有俱留
T0002_001_220	於賢劫中第六劫有俱留孫佛應正等覺出現世間
T0002_001_230	孫佛應正等覺出現世間第七劫有俱那含牟尼佛
T0002_001_240	第七劫有俱那含牟尼佛應正等覺出現世間第八
T0002_001_250	應正等覺出現世間第八劫有迦葉波佛應正等覺
T0002_001_260	劫有迦葉波佛應正等覺出現世間第九劫我釋迦
T0002_001_270	出現世間第九劫我釋迦牟尼佛出世間應正等覺
T0002_001_280	牟尼佛出世間應正等覺復次過去劫中毘婆尸佛
T0002_001_290	復次過去劫中毘婆尸佛尸棄佛毘舍浮佛宣說尸
T0002_001_300	尸棄佛毘舍浮佛宣說尸羅清淨戒律成就智慧最
T0002_001_310	羅清淨戒律成就智慧最上之行復次賢劫中俱留
T0002_001_320	上之行復次賢劫中俱留孫佛俱那含牟尼佛迦葉
T0002_001_330	孫佛俱那含牟尼佛迦葉波佛亦說清淨律儀及禪
T0002_001_340	波佛亦說清淨律儀及禪定解脫之法我所說法亦
T0002_001_350	定解脫之法我所說法亦復如是汝諸苾芻過去毘
T0002_001_360	復如是汝諸苾芻過去毘婆尸佛剎帝利姓發淨信
T0002_001_370	婆尸佛剎帝利姓發淨信心而求出家成正覺道尸
T0002_001_380	心而求出家成正覺道尸棄佛毘舍浮佛亦剎帝利
T0002_001_390	棄佛毘舍浮佛亦剎帝利姓俱留孫佛俱那含牟尼
T0002_001_400	姓俱留孫佛俱那含牟尼佛迦葉佛婆羅門姓我生
T0002_001_410	佛迦葉佛婆羅門姓我生淨飯王宮剎帝利姓爾時
T0002_001_420	淨飯王宮剎帝利姓爾時世尊欲重宣此義而說頌
T0002_001_430	世尊欲重宣此義而說頌曰我說過去世九十一劫
T0002_001_440	曰我說過去世九十一劫中時有毘婆尸出現於世
T0002_001_450	中時有毘婆尸出現於世間三十一劫中尸棄毘舍
T0002_001_460	間三十一劫中尸棄毘舍浮如是正等覺皆姓剎帝
T0002_001_470	浮如是正等覺皆姓剎帝利俱留孫如來婆羅門之
T0002_001_480	利俱留孫如來婆羅門之姓俱那含迦葉其姓亦復
T0002_001_490	姓俱那含迦葉其姓亦復然我處閻浮提而為淨飯
T0002_001_500	然我處閻浮提而為淨飯子雖證佛菩提亦姓剎帝
T0002_001_510	子雖證佛菩提亦姓剎帝利爾時世尊說此偈已告
T0002_001_520	利爾時世尊說此偈已告苾芻眾言汝等諦聽我今
T0002_001_530	苾芻眾言汝等諦聽我今復說七佛如來應正等覺
T0002_001_540	復說七佛如來應正等覺所有族號毘婆尸佛尸棄
T0002_001_550	所有族號毘婆尸佛尸棄佛毘舍浮佛憍陳族俱留
T0002_001_560	佛毘舍浮佛憍陳族俱留孫佛俱那含牟尼佛迦葉
T0002_001_570	孫佛俱那含牟尼佛迦葉波佛迦葉族釋迦如來瞿
T0002_001_580	波佛迦葉族釋迦如來瞿曇族爾時世尊重說頌曰
T0002_001_590	曇族爾時世尊重說頌曰毘婆尸如來尸棄毘舍浮
T0002_001_600	毘婆尸如來尸棄毘舍浮如是彼三佛悉是憍陳族
T0002_001_610	如是彼三佛悉是憍陳族俱留孫如來俱那含迦葉
T0002_001_620	俱留孫如來俱那含迦葉如是彼三佛悉是迦葉族
T0002_001_630	如是彼三佛悉是迦葉族我處閻浮界生於淨飯宮
T0002_001_640	我處閻浮界生於淨飯宮出家證菩提是彼瞿曇族
T0002_001_650	出家證菩提是彼瞿曇族爾時世尊說此偈已告苾
T0002_001_660	爾時世尊說此偈已告苾芻眾言汝等諦聽我今復
T0002_001_670	芻眾言汝等諦聽我今復說七佛如來應正等覺壽
T0002_001_680	說七佛如來應正等覺壽量長短毘婆尸佛應正等
T0002_001_690	量長短毘婆尸佛應正等覺出現世間壽八萬歲尸
T0002_001_700	覺出現世間壽八萬歲尸棄佛應正等覺出現世間
T0002_001_710	棄佛應正等覺出現世間壽七萬歲毘舍浮佛應正
T0002_001_720	壽七萬歲毘舍浮佛應正等覺出現世間壽六萬歲
T0002_001_730	等覺出現世間壽六萬歲俱留孫佛應正等覺出現
T0002_001_740	俱留孫佛應正等覺出現世間壽四萬歲俱那含牟
T0002_001_750	世間壽四萬歲俱那含牟尼佛應正等覺出現世間
T0002_001_760	尼佛應正等覺出現世間壽三萬歲迦葉波佛應正
T0002_001_770	壽三萬歲迦葉波佛應正等覺出現世間壽二萬歲
T0002_001_780	等覺出現世間壽二萬歲我化五濁眾生壽百歲故
T0002_001_790	我化五濁眾生壽百歲故爾時世尊重說頌曰毘婆
T0002_001_800	爾時世尊重說頌曰毘婆尸如來尸棄毘舍浮俱留
T0002_001_810	尸如來尸棄毘舍浮俱留孫世尊俱那含迦葉如是
T0002_001_820	孫世尊俱那含迦葉如是出世時各自人壽量八萬
T0002_001_830	出世時各自人壽量八萬次七萬六萬及四萬三萬
T0002_001_840	次七萬六萬及四萬三萬至二萬如是釋迦佛而出
